"Own / household car";"1,010 / 1,676";"60%";"1,017 / 1,756";"58%";"1,205 / 1,775";"68%";"1,002 / 1,603";"63%";"1,296 / 1,857";"70%";"1,185 / 1,748";"68%";"1,197 / 1,892";"63%";"865 / 1,740";"50%";"906 / 1,793";"51%"
"Own bicycle";"280 / 1,676";"17%";"439 / 1,756";"25%";"198 / 1,775";"11%";"398 / 1,603";"25%";"210 / 1,857";"11%";"399 / 1,748";"23%";"160 / 1,892";"8%";"456 / 1,740";"26%";"333 / 1,793";"19%"
"Own motor scooter (e.g., Vespa)";"45 / 1,676";"3%";"10 / 1,756";"1%";"44 / 1,775";"2%";"45 / 1,603";"3%";"110 / 1,857";"6%";"37 / 1,748";"2%";"60 / 1,892";"3%";"22 / 1,740";"1%";"67 / 1,793";"4%"
"Own motorcycle";"46 / 1,676";"3%";"34 / 1,756";"2%";"60 / 1,775";"3%";"55 / 1,603";"3%";"50 / 1,857";"3%";"54 / 1,748";"3%";"96 / 1,892";"5%";"29 / 1,740";"2%";"65 / 1,793";"4%"
"Public transportation";"611 / 1,676";"36%";"553 / 1,756";"31%";"316 / 1,775";"18%";"476 / 1,603";"30%";"436 / 1,857";"23%";"627 / 1,748";"36%";"589 / 1,892";"31%";"564 / 1,740";"32%";"707 / 1,793";"39%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"4 / 1,676";"0%";"36 / 1,756";"2%";"16 / 1,775";"1%";"10 / 1,603";"1%";"10 / 1,857";"1%";"36 / 1,748";"2%";"33 / 1,892";"2%";"15 / 1,740";"1%";"20 / 1,793";"1%"
"Taxis";"22 / 1,676";"1%";"21 / 1,756";"1%";"24 / 1,775";"1%";"28 / 1,603";"2%";"17 / 1,857";"1%";"100 / 1,748";"6%";"43 / 1,892";"2%";"28 / 1,740";"2%";"30 / 1,793";"2%"
"Other";"120 / 1,676";"7%";"176 / 1,756";"10%";"213 / 1,775";"12%";"83 / 1,603";"5%";"128 / 1,857";"7%";"97 / 1,748";"6%";"228 / 1,892";"12%";"164 / 1,740";"9%";"132 / 1,793";"7%"
""
""
"2021 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,656 / 1,656";"100%";"1,738 / 1,738";"100%";"1,814 / 1,814";"100%";"2,000 / 2,000";"100%";"1,864 / 1,864";"100%";"1,774 / 1,774";"100%";"1,871 / 1,871";"100%";"1,750 / 1,750";"100%";"1,773 / 1,773";"100%"
"Bike rentals / bike sharing";"13 / 1,656";"1%";"15 / 1,738";"1%";"36 / 1,814";"2%";"35 / 2,000";"2%";"28 / 1,864";"2%";"40 / 1,774";"2%";"36 / 1,871";"2%";"24 / 1,750";"1%";"40 / 1,773";"2%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"8 / 1,656";"0%";"4 / 1,738";"0%";"15 / 1,814";"1%";"32 / 2,000";"2%";"31 / 1,864";"2%";"20 / 1,774";"1%";"29 / 1,871";"2%";"10 / 1,750";"1%";"19 / 1,773";"1%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"3 / 1,656";"0%";"2 / 1,738";"0%";"8 / 1,814";"0%";"13 / 2,000";"1%";"16 / 1,864";"1%";"11 / 1,774";"1%";"14 / 1,871";"1%";"15 / 1,750";"1%";"14 / 1,773";"1%"
"Own / household car";"1,007 / 1,656";"61%";"1,014 / 1,738";"58%";"1,230 / 1,814";"68%";"1,278 / 2,000";"64%";"1,301 / 1,864";"70%";"1,211 / 1,774";"68%";"1,227 / 1,871";"66%";"899 / 1,750";"51%";"910 / 1,773";"51%"
"Own bicycle";"267 / 1,656";"16%";"430 / 1,738";"25%";"213 / 1,814";"12%";"489 / 2,000";"24%";"218 / 1,864";"12%";"396 / 1,774";"22%";"146 / 1,871";"8%";"438 / 1,750";"25%";"327 / 1,773";"18%"
"Own motor scooter (e.g., Vespa)";"39 / 1,656";"2%";"13 / 1,738";"1%";"39 / 1,814";"2%";"53 / 2,000";"3%";"120 / 1,864";"6%";"36 / 1,774";"2%";"58 / 1,871";"3%";"30 / 1,750";"2%";"70 / 1,773";"4%"
"Own motorcycle";"40 / 1,656";"2%";"37 / 1,738";"2%";"60 / 1,814";"3%";"67 / 2,000";"3%";"56 / 1,864";"3%";"53 / 1,774";"3%";"93 / 1,871";"5%";"30 / 1,750";"2%";"61 / 1,773";"3%"
"Public transportation";"595 / 1,656";"36%";"508 / 1,738";"29%";"351 / 1,814";"19%";"561 / 2,000";"28%";"418 / 1,864";"22%";"615 / 1,774";"35%";"548 / 1,871";"29%";"561 / 1,750";"32%";"683 / 1,773";"39%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"5 / 1,656";"0%";"38 / 1,738";"2%";"15 / 1,814";"1%";"11 / 2,000";"1%";"15 / 1,864";"1%";"41 / 1,774";"2%";"31 / 1,871";"2%";"18 / 1,750";"1%";"20 / 1,773";"1%"
"Taxis";"24 / 1,656";"1%";"18 / 1,738";"1%";"24 / 1,814";"1%";"32 / 2,000";"2%";"15 / 1,864";"1%";"106 / 1,774";"6%";"38 / 1,871";"2%";"32 / 1,750";"2%";"35 / 1,773";"2%"
"Other";"121 / 1,656";"7%";"187 / 1,738";"11%";"208 / 1,814";"11%";"102 / 2,000";"5%";"136 / 1,864";"7%";"95 / 1,774";"5%";"219 / 1,871";"12%";"153 / 1,750";"9%";"131 / 1,773";"7%"
""
""
"2021 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,637 / 1,637";"100%";"1,720 / 1,720";"100%";"1,796 / 1,796";"100%";"2,394 / 2,394";"100%";"1,849 / 1,849";"100%";"1,728 / 1,728";"100%";"1,828 / 1,828";"100%";"1,730 / 1,730";"100%";"1,733 / 1,733";"100%"
"Bike rentals / bike sharing";"21 / 1,637";"1%";"18 / 1,720";"1%";"36 / 1,796";"2%";"48 / 2,394";"2%";"35 / 1,849";"2%";"41 / 1,728";"2%";"36 / 1,828";"2%";"27 / 1,730";"2%";"44 / 1,733";"3%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"9 / 1,637";"1%";"7 / 1,720";"0%";"12 / 1,796";"1%";"38 / 2,394";"2%";"31 / 1,849";"2%";"24 / 1,728";"1%";"24 / 1,828";"1%";"9 / 1,730";"1%";"19 / 1,733";"1%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"5 / 1,637";"0%";"3 / 1,720";"0%";"7 / 1,796";"0%";"25 / 2,394";"1%";"14 / 1,849";"1%";"12 / 1,728";"1%";"13 / 1,828";"1%";"14 / 1,730";"1%";"11 / 1,733";"1%"
"Own / household car";"1,035 / 1,637";"63%";"1,018 / 1,720";"59%";"1,225 / 1,796";"68%";"1,534 / 2,394";"64%";"1,302 / 1,849";"70%";"1,173 / 1,728";"68%";"1,205 / 1,828";"66%";"890 / 1,730";"51%";"876 / 1,733";"51%"
"Own bicycle";"285 / 1,637";"17%";"440 / 1,720";"26%";"223 / 1,796";"12%";"584 / 2,394";"24%";"228 / 1,849";"12%";"367 / 1,728";"21%";"153 / 1,828";"8%";"426 / 1,730";"25%";"318 / 1,733";"18%"
"Own motor scooter (e.g., Vespa)";"34 / 1,637";"2%";"15 / 1,720";"1%";"33 / 1,796";"2%";"64 / 2,394";"3%";"128 / 1,849";"7%";"38 / 1,728";"2%";"53 / 1,828";"3%";"39 / 1,730";"2%";"63 / 1,733";"4%"
"Own motorcycle";"39 / 1,637";"2%";"33 / 1,720";"2%";"66 / 1,796";"4%";"79 / 2,394";"3%";"58 / 1,849";"3%";"53 / 1,728";"3%";"88 / 1,828";"5%";"30 / 1,730";"2%";"70 / 1,733";"4%"
"Public transportation";"559 / 1,637";"34%";"464 / 1,720";"27%";"363 / 1,796";"20%";"624 / 2,394";"26%";"400 / 1,849";"22%";"582 / 1,728";"34%";"518 / 1,828";"28%";"538 / 1,730";"31%";"682 / 1,733";"39%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"7 / 1,637";"0%";"38 / 1,720";"2%";"15 / 1,796";"1%";"15 / 2,394";"1%";"17 / 1,849";"1%";"46 / 1,728";"3%";"27 / 1,828";"1%";"14 / 1,730";"1%";"17 / 1,733";"1%"
"Taxis";"28 / 1,637";"2%";"19 / 1,720";"1%";"24 / 1,796";"1%";"45 / 2,394";"2%";"17 / 1,849";"1%";"114 / 1,728";"7%";"36 / 1,828";"2%";"37 / 1,730";"2%";"34 / 1,733";"2%"
"Other";"101 / 1,637";"6%";"189 / 1,720";"11%";"191 / 1,796";"11%";"128 / 2,394";"5%";"126 / 1,849";"7%";"89 / 1,728";"5%";"207 / 1,828";"11%";"153 / 1,730";"9%";"114 / 1,733";"7%"
""
""
"2021 - Update 3"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,613 / 1,613";"100%";"1,709 / 1,709";"100%";"1,767 / 1,767";"100%";"2,772 / 2,772";"100%";"1,826 / 1,826";"100%";"1,710 / 1,710";"100%";"1,795 / 1,795";"100%";"1,696 / 1,696";"100%";"1,731 / 1,731";"100%"
"Bike rentals / bike sharing";"24 / 1,613";"1%";"21 / 1,709";"1%";"33 / 1,767";"2%";"64 / 2,772";"2%";"36 / 1,826";"2%";"39 / 1,710";"2%";"31 / 1,795";"2%";"25 / 1,696";"1%";"46 / 1,731";"3%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"11 / 1,613";"1%";"9 / 1,709";"1%";"15 / 1,767";"1%";"44 / 2,772";"2%";"42 / 1,826";"2%";"23 / 1,710";"1%";"26 / 1,795";"1%";"13 / 1,696";"1%";"18 / 1,731";"1%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"7 / 1,613";"0%";"4 / 1,709";"0%";"8 / 1,767";"0%";"29 / 2,772";"1%";"14 / 1,826";"1%";"13 / 1,710";"1%";"15 / 1,795";"1%";"14 / 1,696";"1%";"7 / 1,731";"0%"
"Own / household car";"1,032 / 1,613";"64%";"1,033 / 1,709";"60%";"1,203 / 1,767";"68%";"1,792 / 2,772";"65%";"1,300 / 1,826";"71%";"1,165 / 1,710";"68%";"1,208 / 1,795";"67%";"867 / 1,696";"51%";"888 / 1,731";"51%"
"Own bicycle";"277 / 1,613";"17%";"459 / 1,709";"27%";"237 / 1,767";"13%";"661 / 2,772";"24%";"225 / 1,826";"12%";"381 / 1,710";"22%";"167 / 1,795";"9%";"440 / 1,696";"26%";"316 / 1,731";"18%"
"Own motor scooter (e.g., Vespa)";"34 / 1,613";"2%";"19 / 1,709";"1%";"35 / 1,767";"2%";"68 / 2,772";"2%";"122 / 1,826";"7%";"34 / 1,710";"2%";"58 / 1,795";"3%";"34 / 1,696";"2%";"68 / 1,731";"4%"
"Own motorcycle";"42 / 1,613";"3%";"41 / 1,709";"2%";"58 / 1,767";"3%";"94 / 2,772";"3%";"73 / 1,826";"4%";"62 / 1,710";"4%";"92 / 1,795";"5%";"28 / 1,696";"2%";"68 / 1,731";"4%"
"Public transportation";"541 / 1,613";"34%";"439 / 1,709";"26%";"380 / 1,767";"22%";"709 / 2,772";"26%";"409 / 1,826";"22%";"584 / 1,710";"34%";"472 / 1,795";"26%";"536 / 1,696";"32%";"668 / 1,731";"39%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"8 / 1,613";"0%";"35 / 1,709";"2%";"15 / 1,767";"1%";"24 / 2,772";"1%";"22 / 1,826";"1%";"44 / 1,710";"3%";"31 / 1,795";"2%";"20 / 1,696";"1%";"15 / 1,731";"1%"
"Taxis";"30 / 1,613";"2%";"23 / 1,709";"1%";"26 / 1,767";"1%";"51 / 2,772";"2%";"21 / 1,826";"1%";"115 / 1,710";"7%";"38 / 1,795";"2%";"37 / 1,696";"2%";"32 / 1,731";"2%"
"Other";"103 / 1,613";"6%";"182 / 1,709";"11%";"165 / 1,767";"9%";"138 / 2,772";"5%";"111 / 1,826";"6%";"92 / 1,710";"5%";"205 / 1,795";"11%";"151 / 1,696";"9%";"110 / 1,731";"6%"
""
""
"2021 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,586 / 1,586";"100%";"1,704 / 1,704";"100%";"1,749 / 1,749";"100%";"3,164 / 3,164";"100%";"1,805 / 1,805";"100%";"1,691 / 1,691";"100%";"1,785 / 1,785";"100%";"1,683 / 1,683";"100%";"1,701 / 1,701";"100%"
"Bike rentals / bike sharing";"27 / 1,586";"2%";"19 / 1,704";"1%";"33 / 1,749";"2%";"77 / 3,164";"2%";"42 / 1,805";"2%";"42 / 1,691";"2%";"32 / 1,785";"2%";"22 / 1,683";"1%";"35 / 1,701";"2%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"13 / 1,586";"1%";"9 / 1,704";"1%";"20 / 1,749";"1%";"50 / 3,164";"2%";"48 / 1,805";"3%";"25 / 1,691";"1%";"31 / 1,785";"2%";"16 / 1,683";"1%";"14 / 1,701";"1%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"8 / 1,586";"1%";"7 / 1,704";"0%";"8 / 1,749";"0%";"35 / 3,164";"1%";"14 / 1,805";"1%";"16 / 1,691";"1%";"15 / 1,785";"1%";"8 / 1,683";"0%";"4 / 1,701";"0%"
"Own / household car";"1,037 / 1,586";"65%";"1,039 / 1,704";"61%";"1,202 / 1,749";"69%";"2,051 / 3,164";"65%";"1,301 / 1,805";"72%";"1,167 / 1,691";"69%";"1,192 / 1,785";"67%";"875 / 1,683";"52%";"890 / 1,701";"52%"
"Own bicycle";"281 / 1,586";"18%";"424 / 1,704";"25%";"234 / 1,749";"13%";"722 / 3,164";"23%";"224 / 1,805";"12%";"370 / 1,691";"22%";"162 / 1,785";"9%";"439 / 1,683";"26%";"293 / 1,701";"17%"
"Own motor scooter (e.g., Vespa)";"39 / 1,586";"2%";"24 / 1,704";"1%";"34 / 1,749";"2%";"84 / 3,164";"3%";"129 / 1,805";"7%";"35 / 1,691";"2%";"61 / 1,785";"3%";"28 / 1,683";"2%";"57 / 1,701";"3%"
"Own motorcycle";"48 / 1,586";"3%";"39 / 1,704";"2%";"66 / 1,749";"4%";"113 / 3,164";"4%";"82 / 1,805";"5%";"64 / 1,691";"4%";"85 / 1,785";"5%";"31 / 1,683";"2%";"60 / 1,701";"4%"
"Public transportation";"523 / 1,586";"33%";"426 / 1,704";"25%";"408 / 1,749";"23%";"821 / 3,164";"26%";"401 / 1,805";"22%";"561 / 1,691";"33%";"460 / 1,785";"26%";"525 / 1,683";"31%";"656 / 1,701";"39%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"13 / 1,586";"1%";"36 / 1,704";"2%";"17 / 1,749";"1%";"35 / 3,164";"1%";"24 / 1,805";"1%";"40 / 1,691";"2%";"30 / 1,785";"2%";"15 / 1,683";"1%";"10 / 1,701";"1%"
"Taxis";"29 / 1,586";"2%";"25 / 1,704";"1%";"22 / 1,749";"1%";"64 / 3,164";"2%";"26 / 1,805";"1%";"116 / 1,691";"7%";"49 / 1,785";"3%";"40 / 1,683";"2%";"27 / 1,701";"2%"
"Other";"96 / 1,586";"6%";"176 / 1,704";"10%";"150 / 1,749";"9%";"151 / 3,164";"5%";"99 / 1,805";"5%";"87 / 1,691";"5%";"213 / 1,785";"12%";"151 / 1,683";"9%";"106 / 1,701";"6%"
""
""
"2022 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,591 / 1,591";"100%";"1,723 / 1,723";"100%";"1,725 / 1,725";"100%";"3,554 / 3,554";"100%";"1,785 / 1,785";"100%";"1,646 / 1,646";"100%";"1,780 / 1,780";"100%";"1,673 / 1,673";"100%";"1,685 / 1,685";"100%"
"Bike rentals / bike sharing";"31 / 1,591";"2%";"18 / 1,723";"1%";"39 / 1,725";"2%";"86 / 3,554";"2%";"43 / 1,785";"2%";"42 / 1,646";"3%";"35 / 1,780";"2%";"21 / 1,673";"1%";"31 / 1,685";"2%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"18 / 1,591";"1%";"9 / 1,723";"1%";"25 / 1,725";"1%";"54 / 3,554";"2%";"44 / 1,785";"2%";"23 / 1,646";"1%";"34 / 1,780";"2%";"18 / 1,673";"1%";"13 / 1,685";"1%"
"e-scooter sharing (stand-up scooter for short periods, e.g., by the hour)";"8 / 396";"2%";"11 / 436";"3%";"7 / 448";"2%";"16 / 1,189";"1%";"5 / 454";"1%";"13 / 408";"3%";"6 / 455";"1%";"11 / 433";"3%";"5 / 420";"1%"
