"Own bicycle";"553 / 2,085";"27%";"662 / 2,088";"32%";"363 / 2,094";"17%";"732 / 2,099";"35%";"530 / 2,099";"25%";"823 / 2,095";"39%";"491 / 2,093";"23%";"679 / 2,090";"32%";"589 / 2,081";"28%"
"Own motorcycle";"67 / 2,085";"3%";"52 / 2,088";"2%";"87 / 2,094";"4%";"56 / 2,099";"3%";"101 / 2,099";"5%";"69 / 2,095";"3%";"167 / 2,093";"8%";"41 / 2,090";"2%";"87 / 2,081";"4%"
"Own motor scooter";"62 / 2,085";"3%";"21 / 2,088";"1%";"65 / 2,094";"3%";"73 / 2,099";"3%";"194 / 2,099";"9%";"59 / 2,095";"3%";"127 / 2,093";"6%";"28 / 2,090";"1%";"99 / 2,081";"5%"
"Own / household car";"1,505 / 2,085";"72%";"1,446 / 2,088";"69%";"1,563 / 2,094";"75%";"1,436 / 2,099";"68%";"1,739 / 2,099";"83%";"1,566 / 2,095";"75%";"1,560 / 2,093";"75%";"1,332 / 2,090";"64%";"1,361 / 2,081";"65%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"16 / 2,085";"1%";"50 / 2,088";"2%";"22 / 2,094";"1%";"21 / 2,099";"1%";"19 / 2,099";"1%";"36 / 2,095";"2%";"41 / 2,093";"2%";"24 / 2,090";"1%";"25 / 2,081";"1%"
"Taxis";"17 / 2,085";"1%";"20 / 2,088";"1%";"23 / 2,094";"1%";"29 / 2,099";"1%";"18 / 2,099";"1%";"54 / 2,095";"3%";"63 / 2,093";"3%";"26 / 2,090";"1%";"36 / 2,081";"2%"
"Occasional user / non-user";"124 / 2,085";"6%";"176 / 2,088";"8%";"268 / 2,094";"13%";"176 / 2,099";"8%";"147 / 2,099";"7%";"170 / 2,095";"8%";"209 / 2,093";"10%";"220 / 2,090";"11%";"144 / 2,081";"7%"
""
""
"2021 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,086 / 2,086";"100%";"2,088 / 2,088";"100%";"2,096 / 2,096";"100%";"2,613 / 2,613";"100%";"2,097 / 2,097";"100%";"2,096 / 2,096";"100%";"2,093 / 2,093";"100%";"2,087 / 2,087";"100%";"2,074 / 2,074";"100%"
"Bike rentals / bike sharing";"14 / 2,086";"1%";"29 / 2,088";"1%";"51 / 2,096";"2%";"44 / 2,613";"2%";"34 / 2,097";"2%";"56 / 2,096";"3%";"45 / 2,093";"2%";"59 / 2,087";"3%";"55 / 2,074";"3%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"13 / 2,086";"1%";"12 / 2,088";"1%";"29 / 2,096";"1%";"37 / 2,613";"1%";"31 / 2,097";"1%";"25 / 2,096";"1%";"57 / 2,093";"3%";"20 / 2,087";"1%";"26 / 2,074";"1%"
"Local public transportation";"644 / 2,086";"31%";"477 / 2,088";"23%";"365 / 2,096";"17%";"616 / 2,613";"24%";"399 / 2,097";"19%";"544 / 2,096";"26%";"562 / 2,093";"27%";"519 / 2,087";"25%";"743 / 2,074";"36%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"3 / 2,086";"0%";"11 / 2,088";"1%";"15 / 2,096";"1%";"16 / 2,613";"1%";"19 / 2,097";"1%";"14 / 2,096";"1%";"32 / 2,093";"2%";"28 / 2,087";"1%";"21 / 2,074";"1%"
"Own bicycle";"538 / 2,086";"26%";"630 / 2,088";"30%";"385 / 2,096";"18%";"929 / 2,613";"36%";"546 / 2,097";"26%";"773 / 2,096";"37%";"501 / 2,093";"24%";"637 / 2,087";"31%";"572 / 2,074";"28%"
"Own motorcycle";"61 / 2,086";"3%";"51 / 2,088";"2%";"81 / 2,096";"4%";"79 / 2,613";"3%";"94 / 2,097";"4%";"69 / 2,096";"3%";"165 / 2,093";"8%";"40 / 2,087";"2%";"86 / 2,074";"4%"
"Own motor scooter";"65 / 2,086";"3%";"24 / 2,088";"1%";"65 / 2,096";"3%";"81 / 2,613";"3%";"212 / 2,097";"10%";"58 / 2,096";"3%";"118 / 2,093";"6%";"36 / 2,087";"2%";"100 / 2,074";"5%"
"Own / household car";"1,502 / 2,086";"72%";"1,454 / 2,088";"70%";"1,555 / 2,096";"74%";"1,805 / 2,613";"69%";"1,750 / 2,097";"83%";"1,558 / 2,096";"74%";"1,564 / 2,093";"75%";"1,366 / 2,087";"65%";"1,386 / 2,074";"67%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"17 / 2,086";"1%";"50 / 2,088";"2%";"22 / 2,096";"1%";"26 / 2,613";"1%";"19 / 2,097";"1%";"37 / 2,096";"2%";"40 / 2,093";"2%";"24 / 2,087";"1%";"27 / 2,074";"1%"
"Taxis";"19 / 2,086";"1%";"27 / 2,088";"1%";"18 / 2,096";"1%";"38 / 2,613";"1%";"16 / 2,097";"1%";"52 / 2,096";"2%";"59 / 2,093";"3%";"24 / 2,087";"1%";"36 / 2,074";"2%"
"Occasional user / non-user";"131 / 2,086";"6%";"190 / 2,088";"9%";"259 / 2,096";"12%";"244 / 2,613";"9%";"145 / 2,097";"7%";"174 / 2,096";"8%";"229 / 2,093";"11%";"231 / 2,087";"11%";"139 / 2,074";"7%"
""
""
"2021 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,078 / 2,078";"100%";"2,076 / 2,076";"100%";"2,081 / 2,081";"100%";"3,095 / 3,095";"100%";"2,078 / 2,078";"100%";"2,082 / 2,082";"100%";"2,080 / 2,080";"100%";"2,073 / 2,073";"100%";"2,051 / 2,051";"100%"
"Bike rentals / bike sharing";"21 / 2,078";"1%";"29 / 2,076";"1%";"56 / 2,081";"3%";"71 / 3,095";"2%";"41 / 2,078";"2%";"58 / 2,082";"3%";"50 / 2,080";"2%";"64 / 2,073";"3%";"55 / 2,051";"3%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"14 / 2,078";"1%";"15 / 2,076";"1%";"31 / 2,081";"1%";"40 / 3,095";"1%";"28 / 2,078";"1%";"29 / 2,082";"1%";"51 / 2,080";"2%";"19 / 2,073";"1%";"24 / 2,051";"1%"
"Local public transportation";"594 / 2,078";"29%";"425 / 2,076";"20%";"387 / 2,081";"19%";"684 / 3,095";"22%";"354 / 2,078";"17%";"521 / 2,082";"25%";"530 / 2,080";"25%";"491 / 2,073";"24%";"720 / 2,051";"35%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"7 / 2,078";"0%";"12 / 2,076";"1%";"15 / 2,081";"1%";"28 / 3,095";"1%";"20 / 2,078";"1%";"12 / 2,082";"1%";"29 / 2,080";"1%";"33 / 2,073";"2%";"18 / 2,051";"1%"
"Own bicycle";"565 / 2,078";"27%";"662 / 2,076";"32%";"412 / 2,081";"20%";"1,103 / 3,095";"36%";"588 / 2,078";"28%";"756 / 2,082";"36%";"503 / 2,080";"24%";"635 / 2,073";"31%";"584 / 2,051";"28%"
"Own motorcycle";"52 / 2,078";"3%";"50 / 2,076";"2%";"74 / 2,081";"4%";"107 / 3,095";"3%";"107 / 2,078";"5%";"69 / 2,082";"3%";"156 / 2,080";"8%";"41 / 2,073";"2%";"96 / 2,051";"5%"
"Own motor scooter";"66 / 2,078";"3%";"29 / 2,076";"1%";"59 / 2,081";"3%";"96 / 3,095";"3%";"217 / 2,078";"10%";"59 / 2,082";"3%";"115 / 2,080";"6%";"43 / 2,073";"2%";"94 / 2,051";"5%"
"Own / household car";"1,519 / 2,078";"73%";"1,439 / 2,076";"69%";"1,531 / 2,081";"74%";"2,142 / 3,095";"69%";"1,734 / 2,078";"83%";"1,521 / 2,082";"73%";"1,555 / 2,080";"75%";"1,360 / 2,073";"66%";"1,356 / 2,051";"66%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"21 / 2,078";"1%";"56 / 2,076";"3%";"20 / 2,081";"1%";"29 / 3,095";"1%";"17 / 2,078";"1%";"38 / 2,082";"2%";"37 / 2,080";"2%";"23 / 2,073";"1%";"29 / 2,051";"1%"
"Taxis";"21 / 2,078";"1%";"28 / 2,076";"1%";"17 / 2,081";"1%";"42 / 3,095";"1%";"20 / 2,078";"1%";"55 / 2,082";"3%";"55 / 2,080";"3%";"30 / 2,073";"1%";"36 / 2,051";"2%"
"Occasional user / non-user";"131 / 2,078";"6%";"204 / 2,076";"10%";"253 / 2,081";"12%";"316 / 3,095";"10%";"149 / 2,078";"7%";"183 / 2,082";"9%";"234 / 2,080";"11%";"244 / 2,073";"12%";"139 / 2,051";"7%"
""
""
"2021 - Update 3"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,066 / 2,066";"100%";"2,061 / 2,061";"100%";"2,063 / 2,063";"100%";"3,576 / 3,576";"100%";"2,061 / 2,061";"100%";"2,064 / 2,064";"100%";"2,066 / 2,066";"100%";"2,064 / 2,064";"100%";"2,047 / 2,047";"100%"
"Bike rentals / bike sharing";"26 / 2,066";"1%";"31 / 2,061";"2%";"52 / 2,063";"3%";"94 / 3,576";"3%";"49 / 2,061";"2%";"58 / 2,064";"3%";"49 / 2,066";"2%";"67 / 2,064";"3%";"57 / 2,047";"3%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"12 / 2,066";"1%";"21 / 2,061";"1%";"28 / 2,063";"1%";"53 / 3,576";"1%";"33 / 2,061";"2%";"26 / 2,064";"1%";"49 / 2,066";"2%";"21 / 2,064";"1%";"25 / 2,047";"1%"
"Local public transportation";"564 / 2,066";"27%";"404 / 2,061";"20%";"416 / 2,063";"20%";"762 / 3,576";"21%";"353 / 2,061";"17%";"519 / 2,064";"25%";"502 / 2,066";"24%";"483 / 2,064";"23%";"706 / 2,047";"34%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"11 / 2,066";"1%";"13 / 2,061";"1%";"19 / 2,063";"1%";"40 / 3,576";"1%";"20 / 2,061";"1%";"13 / 2,064";"1%";"33 / 2,066";"2%";"34 / 2,064";"2%";"13 / 2,047";"1%"
"Own bicycle";"562 / 2,066";"27%";"662 / 2,061";"32%";"395 / 2,063";"19%";"1,275 / 3,576";"36%";"565 / 2,061";"27%";"802 / 2,064";"39%";"501 / 2,066";"24%";"675 / 2,064";"33%";"577 / 2,047";"28%"
"Own motorcycle";"61 / 2,066";"3%";"61 / 2,061";"3%";"77 / 2,063";"4%";"116 / 3,576";"3%";"110 / 2,061";"5%";"76 / 2,064";"4%";"151 / 2,066";"7%";"39 / 2,064";"2%";"94 / 2,047";"5%"
"Own motor scooter";"67 / 2,066";"3%";"36 / 2,061";"2%";"61 / 2,063";"3%";"110 / 3,576";"3%";"211 / 2,061";"10%";"67 / 2,064";"3%";"124 / 2,066";"6%";"43 / 2,064";"2%";"95 / 2,047";"5%"
"Own / household car";"1,500 / 2,066";"73%";"1,416 / 2,061";"69%";"1,506 / 2,063";"73%";"2,499 / 3,576";"70%";"1,714 / 2,061";"83%";"1,494 / 2,064";"72%";"1,552 / 2,066";"75%";"1,364 / 2,064";"66%";"1,340 / 2,047";"65%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"22 / 2,066";"1%";"61 / 2,061";"3%";"15 / 2,063";"1%";"36 / 3,576";"1%";"23 / 2,061";"1%";"34 / 2,064";"2%";"37 / 2,066";"2%";"22 / 2,064";"1%";"24 / 2,047";"1%"
"Taxis";"25 / 2,066";"1%";"38 / 2,061";"2%";"14 / 2,063";"1%";"53 / 3,576";"1%";"26 / 2,061";"1%";"59 / 2,064";"3%";"48 / 2,066";"2%";"34 / 2,064";"2%";"39 / 2,047";"2%"
"Occasional user / non-user";"143 / 2,066";"7%";"203 / 2,061";"10%";"260 / 2,063";"13%";"371 / 3,576";"10%";"152 / 2,061";"7%";"192 / 2,064";"9%";"235 / 2,066";"11%";"248 / 2,064";"12%";"149 / 2,047";"7%"
""
""
"2021 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,047 / 2,047";"100%";"4,061 / 4,061";"100%";"2,049 / 2,049";"100%";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,051 / 2,051";"100%";"2,031 / 2,031";"100%"
"Bike rentals / bike sharing";"26 / 2,050";"1%";"36 / 2,045";"2%";"57 / 2,047";"3%";"121 / 4,061";"3%";"55 / 2,049";"3%";"58 / 2,050";"3%";"49 / 2,045";"2%";"66 / 2,051";"3%";"44 / 2,031";"2%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"14 / 2,050";"1%";"26 / 2,045";"1%";"41 / 2,047";"2%";"63 / 4,061";"2%";"36 / 2,049";"2%";"29 / 2,050";"1%";"54 / 2,045";"3%";"25 / 2,051";"1%";"22 / 2,031";"1%"
"Local public transportation";"563 / 2,050";"27%";"410 / 2,045";"20%";"445 / 2,047";"22%";"902 / 4,061";"22%";"367 / 2,049";"18%";"492 / 2,050";"24%";"479 / 2,045";"23%";"479 / 2,051";"23%";"693 / 2,031";"34%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"14 / 2,050";"1%";"21 / 2,045";"1%";"20 / 2,047";"1%";"59 / 4,061";"1%";"25 / 2,049";"1%";"16 / 2,050";"1%";"30 / 2,045";"1%";"36 / 2,051";"2%";"12 / 2,031";"1%"
"Own bicycle";"531 / 2,050";"26%";"619 / 2,045";"30%";"403 / 2,047";"20%";"1,421 / 4,061";"35%";"574 / 2,049";"28%";"775 / 2,050";"38%";"474 / 2,045";"23%";"671 / 2,051";"33%";"544 / 2,031";"27%"
"Own motorcycle";"60 / 2,050";"3%";"59 / 2,045";"3%";"73 / 2,047";"4%";"139 / 4,061";"3%";"118 / 2,049";"6%";"76 / 2,050";"4%";"147 / 2,045";"7%";"36 / 2,051";"2%";"77 / 2,031";"4%"
"Own motor scooter";"72 / 2,050";"4%";"37 / 2,045";"2%";"63 / 2,047";"3%";"121 / 4,061";"3%";"207 / 2,049";"10%";"73 / 2,050";"4%";"119 / 2,045";"6%";"46 / 2,051";"2%";"83 / 2,031";"4%"
"Own / household car";"1,489 / 2,050";"73%";"1,410 / 2,045";"69%";"1,512 / 2,047";"74%";"2,864 / 4,061";"71%";"1,683 / 2,049";"82%";"1,475 / 2,050";"72%";"1,551 / 2,045";"76%";"1,333 / 2,051";"65%";"1,335 / 2,031";"66%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"17 / 2,050";"1%";"69 / 2,045";"3%";"22 / 2,047";"1%";"44 / 4,061";"1%";"25 / 2,049";"1%";"37 / 2,050";"2%";"38 / 2,045";"2%";"25 / 2,051";"1%";"15 / 2,031";"1%"
"Taxis";"26 / 2,050";"1%";"39 / 2,045";"2%";"19 / 2,047";"1%";"69 / 4,061";"2%";"30 / 2,049";"1%";"50 / 2,050";"2%";"47 / 2,045";"2%";"43 / 2,051";"2%";"28 / 2,031";"1%"
"Occasional user / non-user";"147 / 2,050";"7%";"208 / 2,045";"10%";"231 / 2,047";"11%";"408 / 4,061";"10%";"160 / 2,049";"8%";"199 / 2,050";"10%";"236 / 2,045";"12%";"261 / 2,051";"13%";"145 / 2,031";"7%"
""
""
"2022 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,032 / 2,032";"100%";"2,033 / 2,033";"100%";"4,525 / 4,525";"100%";"2,032 / 2,032";"100%";"2,034 / 2,034";"100%";"2,029 / 2,029";"100%";"2,035 / 2,035";"100%";"2,012 / 2,012";"100%"
"Bike rentals / bike sharing";"25 / 2,035";"1%";"42 / 2,032";"2%";"59 / 2,033";"3%";"138 / 4,525";"3%";"56 / 2,032";"3%";"60 / 2,034";"3%";"58 / 2,029";"3%";"66 / 2,035";"3%";"43 / 2,012";"2%"
